	bio_celltype
pdacb_cell_454	Cancer
pdacb_cell_455	Cancer
pdacb_cell_456	Ductal - terminal ductal like
pdacb_cell_457	Ductal - terminal ductal like
pdacb_cell_458	Endothelial cells
pdacb_cell_459	Ductal - terminal ductal like
pdacb_cell_460	Cancer
pdacb_cell_461	Cancer
pdacb_cell_462	Cancer
pdacb_cell_463	Endothelial cells
pdacb_cell_464	Ductal - terminal ductal like
pdacb_cell_465	Ductal - terminal ductal like
pdacb_cell_466	Ductal - terminal ductal like
pdacb_cell_467	Cancer
pdacb_cell_468	Ductal - terminal ductal like
pdacb_cell_469	Cancer
pdacb_cell_470	Ductal - terminal ductal like
pdacb_cell_471	Cancer
pdacb_cell_472	Ductal - terminal ductal like
pdacb_cell_473	Ductal - MHC Class II
pdacb_cell_474	Ductal - terminal ductal like
pdacb_cell_475	Ductal - MHC Class II
pdacb_cell_476	Cancer
pdacb_cell_477	Ductal - terminal ductal like
pdacb_cell_478	Ductal - terminal ductal like
pdacb_cell_479	Cancer
pdacb_cell_480	Ductal - terminal ductal like
pdacb_cell_481	Ductal - CRISP3 high
pdacb_cell_482	Ductal - CRISP3 high
pdacb_cell_483	Ductal - terminal ductal like
pdacb_cell_484	Ductal - terminal ductal like
pdacb_cell_485	Ductal - terminal ductal like
pdacb_cell_486	Cancer
pdacb_cell_487	Ductal - terminal ductal like
pdacb_cell_488	Endothelial cells
pdacb_cell_489	Ductal - CRISP3 high
pdacb_cell_490	Ductal - terminal ductal like
pdacb_cell_491	Tuft cells
pdacb_cell_492	Ductal - CRISP3 high
pdacb_cell_493	Endothelial cells
pdacb_cell_494	Ductal - terminal ductal like
pdacb_cell_495	Ductal - terminal ductal like
pdacb_cell_496	Cancer
pdacb_cell_497	Endothelial cells
pdacb_cell_498	Ductal - MHC Class II
pdacb_cell_499	Ductal - terminal ductal like
pdacb_cell_500	Cancer
pdacb_cell_501	Endocrine cells
pdacb_cell_502	Cancer
pdacb_cell_503	Ductal - terminal ductal like
pdacb_cell_504	Ductal - terminal ductal like
pdacb_cell_505	Ductal - MHC Class II
pdacb_cell_506	Cancer
pdacb_cell_507	Ductal - terminal ductal like
pdacb_cell_508	Endocrine cells
pdacb_cell_509	Ductal - terminal ductal like
pdacb_cell_510	Ductal - terminal ductal like
pdacb_cell_511	Ductal - terminal ductal like
pdacb_cell_512	Ductal - terminal ductal like
pdacb_cell_513	Ductal - terminal ductal like
pdacb_cell_514	Ductal - MHC Class II
pdacb_cell_515	Ductal - CRISP3 high
pdacb_cell_516	Ductal - terminal ductal like
pdacb_cell_517	Ductal - CRISP3 high
pdacb_cell_518	Ductal - terminal ductal like
pdacb_cell_519	Cancer
pdacb_cell_520	Ductal - terminal ductal like
pdacb_cell_521	Ductal - terminal ductal like
pdacb_cell_522	Ductal - terminal ductal like
pdacb_cell_523	Ductal - MHC Class II
pdacb_cell_524	Ductal - terminal ductal like
pdacb_cell_525	Cancer
pdacb_cell_526	Ductal - terminal ductal like
pdacb_cell_527	Ductal - terminal ductal like
pdacb_cell_528	Ductal - terminal ductal like
pdacb_cell_529	Ductal - MHC Class II
pdacb_cell_530	Cancer
pdacb_cell_531	Ductal - terminal ductal like
pdacb_cell_532	Ductal - terminal ductal like
pdacb_cell_533	Ductal - terminal ductal like
pdacb_cell_534	Ductal - terminal ductal like
pdacb_cell_535	Ductal - terminal ductal like
pdacb_cell_536	Ductal - terminal ductal like
pdacb_cell_537	Ductal - terminal ductal like
pdacb_cell_538	Ductal - terminal ductal like
pdacb_cell_539	Cancer
pdacb_cell_540	Cancer
pdacb_cell_541	Cancer
pdacb_cell_542	Ductal - terminal ductal like
pdacb_cell_543	Ductal - CRISP3 high
pdacb_cell_544	Cancer
pdacb_cell_545	Ductal - MHC Class II
pdacb_cell_546	Ductal - terminal ductal like
pdacb_cell_547	Cancer
pdacb_cell_548	Cancer
pdacb_cell_549	Ductal - terminal ductal like
pdacb_cell_550	Tuft cells
pdacb_cell_551	Cancer
pdacb_cell_552	Ductal - MHC Class II
pdacb_cell_553	Cancer
pdacb_cell_554	Ductal - MHC Class II
pdacb_cell_555	Ductal - terminal ductal like
pdacb_cell_556	Ductal - terminal ductal like
pdacb_cell_557	Endothelial cells
pdacb_cell_558	Ductal - terminal ductal like
pdacb_cell_559	Ductal - MHC Class II
pdacb_cell_560	Ductal - terminal ductal like
pdacb_cell_561	Cancer
pdacb_cell_562	Cancer
pdacb_cell_563	Cancer
pdacb_cell_564	Ductal - terminal ductal like
pdacb_cell_565	Ductal - terminal ductal like
pdacb_cell_566	Ductal - terminal ductal like
pdacb_cell_567	Cancer
pdacb_cell_568	Ductal - MHC Class II
